PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,6081058012008120518371703900489,8,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
SHORT,6081058012008120518371703900489,9,X17,Consider a programme of fitting energy meters to the pool complex as part of the serving and maintenance regime.,LOW
LONG,103842660062015091010550796930430,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,103842660062015091010550796930430,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,103842660062015091010550796930430,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
LONG,103842660062015091010550796930430,4,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
MEDIUM,103842660062015091010550796930430,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,103842660062015091010550796930430,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,103842660062015091010550796930430,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,103842660062015091010550796930430,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,LOW
OTHER,103842660062015091010550796930430,1,None,"Original single glazing, consider use of removable secondary double glazing to reduce winter losses and remove for summer to improve ventilation",HIGH
OTHER,103842660062015091010550796930430,10,None,Consider variable volume fume cupboards.  Those in use had no sash,MEDIUM
OTHER,103842660062015091010550796930430,2,None,Temperature sensors could not be located.  An average of three sensors will provide less sensitive control,HIGH
OTHER,103842660062015091010550796930430,3,None,The piping in the boiler house suggests inadequate zones are provided.  Consider upgrading the controls to multi-zone control,HIGH
OTHER,103842660062015091010550796930430,4,None,Consider improving performance of glazing from the original single glazed steel frames,HIGH
OTHER,103842660062015091010550796930430,5,None,Consider use of two port controls along with variable speed pumps to reduce pumping energy,MEDIUM
OTHER,103842660062015091010550796930430,6,None,VSD pumps provided but not variable speed control,LOW
OTHER,103842660062015091010550796930430,7,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,103842660062015091010550796930430,8,None,Consider use of LTHW insread of steam and generate steam locally if needed,HIGH
OTHER,103842660062015091010550796930430,9,None,Peroimeter convectors lacking controls.  Provide trvs,MEDIUM
SHORT,103842660062015091010550796930430,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,103842660062015091010550796930430,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,103842660062015091010550796930430,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,103842660062015091010550796930430,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",LOW
SHORT,103842660062015091010550796930430,5,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",HIGH
SHORT,103842660062015091010550796930430,6,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
SHORT,103842660062015091010550796930430,7,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
LONG,14728943032017021314480611000398,1,AE4,Consider installing building mounted photovoltaic electricity generating panels.,HIGH
LONG,14728943032017021314480611000398,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
LONG,14728943032017021314480611000398,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,14728943032017021314480611000398,4,BF3,Consider replacing or improving glazing.,MEDIUM
MEDIUM,14728943032017021314480611000398,1,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance. This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
MEDIUM,14728943032017021314480611000398,2,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
MEDIUM,14728943032017021314480611000398,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
SHORT,14728943032017021314480611000398,1,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,LOW
SHORT,14728943032017021314480611000398,2,BF1,Consider introducing or improving loft insulation.,MEDIUM
SHORT,14728943032017021314480611000398,3,X12,Clean windows and roof lights to maximise daylight entering building and reduce the need for artificial lighting.,LOW
SHORT,14728943032017021314480611000398,4,X11,Consider implementing a programme of planned lighting systems maintenance to maintain effectiveness and energy efficiency.,LOW
SHORT,14728943032017021314480611000398,5,X10,Engage experts to propose and set up an air conditioning servicing and maintenance regime and implement it.,LOW
LONG,107497900062019090610160408010430,1,AE8,Consider switching to a less carbon intensive fuel.,LOW
LONG,107497900062019090610160408010430,2,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,MEDIUM
MEDIUM,107497900062019090610160408010430,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
SHORT,107497900062019090610160408010430,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,107497900062019090610160408010430,10,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
SHORT,107497900062019090610160408010430,11,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the Energy Performance of Buildings Regulations),MEDIUM
SHORT,107497900062019090610160408010430,12,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,LOW
SHORT,107497900062019090610160408010430,13,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
SHORT,107497900062019090610160408010430,14,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
SHORT,107497900062019090610160408010430,2,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,107497900062019090610160408010430,3,X25,"Consider introducing a system of regular checks of Heating, Ventilation and Air Conditioning (HVAC) time and temperature settings and provisions to prevent unauthorised adjustment.",MEDIUM
